replicate,correlation
1,0.16196187885854657
2,-0.4782522048546521
3,0.02107876287325678
4,-0.03991501338457036
5,-0.22143898760728642
6,-0.3674464884675747
7,0.05197417128066385
8,0.20693341808596144
9,0.1360284128377488
10,-0.2105347306934294
11,0.0781462885784342
12,-0.2821386927807063
13,0.07814011275218045
14,0.023233084589616256
15,-0.028080441386610942
16,0.4938041294146238
17,0.1193856901230391
18,-0.154520280562332
19,0.16943226221948463
20,-0.33985227636488546
21,0.13568220075523307
22,-0.12988421047823992
23,-0.09543401418917502
24,-0.09882279411509581
25,0.057355389880549904
26,-0.0758573773214885
27,0.22949275720574686
28,0.15573614147022946
29,-0.06523582094232366
30,0.1628518295985831
31,0.2749160661251096
32,-0.15866895524077257
33,-0.09494609416547672
34,-0.2014531950887075
35,-0.16736109468047944
36,0.10693089047845754
37,0.3352354945776729
38,-0.172245936955848
39,-0.2633376762231334
40,-0.21918074031081247
41,0.08666751685871209
42,-0.3434283647860206
43,0.5051938618872726
44,0.18144318261222234
45,0.05455057237577219
46,0.5858737412358637
47,-0.16878560485078564
48,0.13431581326790043
49,-0.22833379219173186
50,0.0360882303783543
51,0.14208397799900263
52,0.2607713418802813
53,0.23052432695976777
54,-0.2481067545743291
55,0.15762336978994904
56,0.1602043371471884
57,0.40432560228934783
58,0.08355758431351733
59,0.2985859056004171
60,-0.052560716151038675
61,0.06361819745279984
62,-0.10571351345378634
63,-0.01028901377139975
64,0.05000325260517527
65,0.04792569540698504
66,0.09521438499676385
67,-0.3306811017689045
68,-0.4136030101568847
69,-0.2329839993572361
70,0.02019467812022649
71,0.12161759862832673
72,0.39748288849245167
73,-0.012504096948736866
74,0.2828326897415344
75,-0.5362042926235414
76,0.11473845436851181
77,-0.08195365457645949
78,-0.13400632833495046
79,-0.03577679749080711
80,0.1603382781547961
81,0.04029066344976963
82,0.24504271784825418
83,-0.3242091835957978
84,0.04542174738138718
85,-0.07642102145700265
86,-0.18189320339899254
87,-0.07901232120538595
88,0.4838900103471046
89,0.05801916127386705
90,-0.1223098373514287
91,0.22581844399998005
92,-0.008068718768937647
93,-0.011084546648011308
94,0.3570483122959349
95,-0.10326035022776547
96,-0.014401469856340322
97,0.020773872034437323
98,-0.054082742667642715
99,-0.11909314408880872
100,-0.04014770702332649
101,0.14221191735987698
102,0.2946479465234456
103,-0.15507528018923672
104,0.023282846718210244
105,0.17003131560889806
106,-0.27088302905795214
107,0.13209530789665677
108,-0.4541669096729429
109,0.012062283229386307
110,0.0804260739221787
111,-0.05411319364883988
112,-0.08441373848578095
113,-0.1354279705294239
114,0.04761665479363737
115,-0.02557730380188704
116,-0.1917895583141244
117,-0.14793760074241066
118,0.1633113731589154
119,-0.3620844479905194
120,-0.18064714367358775
121,-0.029026222125754075
122,-0.13578292814197296
123,0.1028340186982571
124,-0.18325595458668983
125,0.29849309472820906
126,0.12183302801505161
127,0.2698276530508149
128,0.1930139910116157
129,-0.11895220836507192
130,0.3098394123608393
131,-0.18253080493434454
132,-0.10916237976312124
133,-0.02737115304769313
134,-0.40763926803373124
135,0.03135605138739856
136,0.08543076729846083
137,-0.07892331463338999
138,-0.43704070310545606
139,0.04143946911742799
140,0.09227718982509876
141,0.23181043043695468
142,-0.22701262063213692
143,0.23918052583195143
144,-0.3276374293896529
145,-0.01204003836640324
146,-0.038662209329589706
147,-0.29084959098306135
148,-0.09640262703598024
149,-0.3326979895987478
150,-0.05934307607640944
151,0.044711659869974885
152,0.38504363048229356
153,-0.02439388576269072
154,-0.30213813810481055
155,0.18498292801600982
156,-0.17494795894067344
157,-0.3688865341835815
158,-0.18280253417694267
159,0.15358904858900552
160,0.3103463574016649
161,0.29215623316981265
162,0.17063171561266957
163,-0.06908551814637179
164,0.1933988206566552
165,-0.052976735091841795
166,-0.15428573857700292
167,-0.3317664703715223
168,-0.08255562613598948
169,0.06730408131909923
170,-0.13850916782308334
171,-0.5184806241636146
172,-0.10737123315297056
173,0.21236289949568177
174,0.071777584351008
175,0.12104046757402186
176,-0.0650326581278509
177,-0.26394361975078434
178,-0.007480176534502489
179,0.040138518610528195
180,-0.14536782766159126
181,0.08702924210099935
182,-0.15859822741606186
183,0.09887906489928358
184,-0.22076977599764802
185,-0.49248825187177253
186,0.31701134720724417
187,-0.016730649543228063
188,0.18421251802312552
189,0.2312215377658783
190,0.11373735689514243
191,0.03679642912195442
192,0.07938809635885347
193,0.23092162766091986
194,0.026435140295932538
195,0.10797883108766693
196,0.2483232918088263
197,0.13551650943619872
198,-0.0821763328970624
199,0.040597834269853375
200,-0.16973368355339605
201,-0.2212607226660808
202,0.39637152688789135
203,0.050814473050408704
204,-0.2813659691103422
205,-0.04011072929696192
206,-0.09323979350807923
207,-0.22288402666387339
208,0.14105933634526824
209,-0.08611492259162762
210,0.523649060057762
211,0.5182540171338241
212,-0.20434257619053148
213,0.2612144183003405
214,0.22455565404869543
215,0.0654828300271813
216,0.017475556679941894
217,0.37755954929126695
218,-0.05600872487827775
219,-0.2398834266879909
220,0.3309822538294339
221,0.11224641220021135
222,-0.1926946653241175
223,0.0762989335102564
224,0.08946607733693088
225,-0.4861462279216743
226,-0.3340200316266828
227,0.20301107195438498
228,-0.25735973195554235
229,-0.07291675258886733
230,-0.22164601540761505
231,0.09437641738185985
